grid_id,grid_xmin,grid_ymin,grid_xmax,grid_ymax,cell_seq,station_count,groundwater_median_variation_20y_cm,groundwater_mean_variation_20y_cm,groundwater_signal_robust,groundwater_signal_class,withdrawal_count,withdrawal_volume_m3,ind_withdrawal_count,irr_withdrawal_count,ind_withdrawal_volume_m3,irr_withdrawal_volume_m3,pressure_signal_class,exposure_class_2x2,grid_size_km,pressure_threshold_m3,has_withdrawal_data,has_groundwater_data,is_classified,is_robustly_classified,context_only_withdrawal
grid_120000_6640000,120000.0,6640000.0,140000.0,6660000.0,28,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6660000,120000.0,6660000.0,140000.0,6680000.0,29,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6680000,120000.0,6680000.0,140000.0,6700000.0,30,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6700000,120000.0,6700000.0,140000.0,6720000.0,31,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6720000,120000.0,6720000.0,140000.0,6740000.0,32,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6740000,120000.0,6740000.0,140000.0,6760000.0,33,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6760000,120000.0,6760000.0,140000.0,6780000.0,34,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6780000,120000.0,6780000.0,140000.0,6800000.0,35,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6800000,120000.0,6800000.0,140000.0,6820000.0,36,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6820000,120000.0,6820000.0,140000.0,6840000.0,37,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6840000,120000.0,6840000.0,140000.0,6860000.0,38,1,10.041772958404,10.041772958404,False,not_declining,3.0,8160.0,0.0,3.0,0.0,8160.0,low,low_pressure_non_declining_groundwater,20.0,1213693.0,True,True,True,False,False
grid_120000_6860000,120000.0,6860000.0,140000.0,6880000.0,39,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6880000,120000.0,6880000.0,140000.0,6900000.0,40,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6900000,120000.0,6900000.0,140000.0,6920000.0,41,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6920000,120000.0,6920000.0,140000.0,6940000.0,42,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6940000,120000.0,6940000.0,140000.0,6960000.0,43,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6960000,120000.0,6960000.0,140000.0,6980000.0,44,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_6980000,120000.0,6980000.0,140000.0,7000000.0,45,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_7000000,120000.0,7000000.0,140000.0,7020000.0,46,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_7020000,120000.0,7020000.0,140000.0,7040000.0,47,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_7040000,120000.0,7040000.0,140000.0,7060000.0,48,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_7060000,120000.0,7060000.0,140000.0,7080000.0,49,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_7080000,120000.0,7080000.0,140000.0,7100000.0,50,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_120000_7100000,120000.0,7100000.0,140000.0,7120000.0,51,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6080000,140000.0,6080000.0,160000.0,6100000.0,52,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6100000,140000.0,6100000.0,160000.0,6120000.0,53,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6120000,140000.0,6120000.0,160000.0,6140000.0,54,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6140000,140000.0,6140000.0,160000.0,6160000.0,55,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6160000,140000.0,6160000.0,160000.0,6180000.0,56,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6180000,140000.0,6180000.0,160000.0,6200000.0,57,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6200000,140000.0,6200000.0,160000.0,6220000.0,58,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6220000,140000.0,6220000.0,160000.0,6240000.0,59,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6240000,140000.0,6240000.0,160000.0,6260000.0,60,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6260000,140000.0,6260000.0,160000.0,6280000.0,61,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6280000,140000.0,6280000.0,160000.0,6300000.0,62,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6300000,140000.0,6300000.0,160000.0,6320000.0,63,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6320000,140000.0,6320000.0,160000.0,6340000.0,64,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6340000,140000.0,6340000.0,160000.0,6360000.0,65,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6360000,140000.0,6360000.0,160000.0,6380000.0,66,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6380000,140000.0,6380000.0,160000.0,6400000.0,67,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6400000,140000.0,6400000.0,160000.0,6420000.0,68,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6420000,140000.0,6420000.0,160000.0,6440000.0,69,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
grid_140000_6440000,140000.0,6440000.0,160000.0,6460000.0,70,0,,,False,no_data,0.0,0.0,0.0,0.0,0.0,0.0,low,unclassified_no_groundwater_data,20.0,1213693.0,False,False,False,False,False
